Outlet Code,Month,Units,Value
OA0001,2026-02,1,62000
OA0001,2026-03,1,62000
OA0006,2026-02,9,1161000
OA0006,2026-03,11,682000
OA0006,2026-04,21,1428000
OA0006,2026-05,9,1161000
OA0006,2026-06,6,372000
OA0007,2026-02,1,68000
OA0008,2026-02,31,3999000
OA0008,2026-03,56,7224000
OA0008,2026-04,35,4515000
OA0008,2026-05,60,4080000
OA0008,2026-06,51,3162000
OA0008,2026-07,33,2607000
OA0010,2026-02,4,272000
OA0011,2026-02,50,4700000
OA0011,2026-03,26,2054000
OA0011,2026-04,67,4556000
OA0011,2026-05,16,2064000
OA0011,2026-06,9,558000
OA0011,2026-07,57,5358000
OA0014,2026-02,1,62000
OA0015,2026-02,10,620000
OA0015,2026-03,9,558000
OA0015,2026-04,12,1548000
OA0015,2026-05,13,1027000
OA0015,2026-06,10,620000
OA0015,2026-07,8,496000
OA0016,2026-02,28,3612000
OA0016,2026-03,18,1422000
OA0016,2026-04,25,1975000
OA0016,2026-05,18,1692000
OA0016,2026-06,23,1564000
OA0016,2026-07,10,790000
OA0019,2026-02,1,68000
OA0019,2026-03,1,79000
OA0020,2026-02,1,68000
OA0020,2026-03,2,136000
OA0023,2026-03,1,62000
OA0024,2026-02,13,1027000
OA0024,2026-03,5,395000
OA0024,2026-04,13,1027000
OA0024,2026-05,12,1548000
OA0024,2026-06,11,682000
OA0024,2026-07,8,632000
OA0025,2026-02,59,4012000
OA0025,2026-03,57,5358000
OA0025,2026-04,4,316000
OA0025,2026-05,23,1817000
OA0025,2026-06,32,2528000
OA0025,2026-07,24,1632000
OA0027,2026-02,2,158000
OA0027,2026-03,2,124000
OA0027,2026-04,1,79000
OA0027,2026-05,3,204000
OA0028,2026-02,3,237000
OA0028,2026-03,3,237000
OA0030,2026-02,13,1222000
OA0030,2026-03,33,4257000
OA0030,2026-04,46,5934000
OA0030,2026-05,37,2294000
OA0030,2026-06,38,4902000
OA0030,2026-07,38,4902000
OA0031,2026-02,22,1738000
OA0031,2026-03,3,237000
OA0031,2026-04,16,2064000
OA0031,2026-05,12,744000
OA0031,2026-06,29,2291000
OA0031,2026-07,27,3483000
OA0032,2026-02,1,68000
OA0032,2026-03,1,68000
OA0032,2026-04,1,79000
OA0032,2026-05,1,68000
OA0033,2026-02,2,136000
OA0033,2026-03,2,158000
OA0033,2026-04,3,186000
OA0033,2026-05,1,79000
OA0034,2026-03,1,62000
OA0036,2026-02,8,1032000
OA0036,2026-03,5,395000
OA0036,2026-04,2,158000
OA0036,2026-05,4,248000
OA0036,2026-06,7,553000
OA0036,2026-07,4,248000
OA0037,2026-02,1,68000
OA0037,2026-03,1,79000
OA0037,2026-04,3,237000
OA0037,2026-05,1,79000
OA0038,2026-02,3,282000
OA0038,2026-04,1,129000
OA0038,2026-05,1,129000
OA0038,2026-06,2,158000
OA0038,2026-07,0,0
OA0040,2026-02,1,62000
OA0040,2026-03,1,79000
OA0040,2026-04,1,62000
OA0040,2026-05,1,68000
OA0041,2026-02,12,948000
OA0041,2026-03,26,1768000
OA0041,2026-04,25,2350000
OA0041,2026-05,9,846000
OA0041,2026-06,29,1798000
