Outlet Code,Outlet Name,Type,Town,Owner Name,Phone,Onboarded,Credit Days,Latitude,Longitude,Status
OA0001,Bharath Traders,Premium Reseller,Thanjavur,Rajesh Babu,6786043810,22/12/2024,0,10.795153,79.1015,Active
OA0002,Sakthi Telecom,General Trade,KARUR,Senthil Krishnan,8623459260,01/10/2022,COD,10.92787,78.046961,Active
OA0003,Anandha Enterprises,General Trade,Madras,Rajesh S,8598196185,2020-11-17,30 days,13.07667,80.301298,ACTIVE
OA0004,Bharath Digital,Mobile Specialist,dindigul,Bala Kumar,+91 88889 93434,18/11/2024,30 days,10.400017,77.999507,active
OA0005,Meenakshi Agencies,Premium Reseller,Tiruchirappalli,Vignesh R,8219009933,23/05/2022,,,,Active
OA0006,Bharath Telecom,Premium Reseller,trichy,Muthu Murugan,9984247143,24/06/2024,15,,,ACTIVE
OA0007,Modern Communications,Mobile Specialist,TIRUNELVELI,Manoj R,7944411442,2022-08-07,30 days,8.739713,77.734022,Active
OA0008,Sri Krishna Communications,General Trade,SALEM,Vignesh Kumar,8696735474,27/10/2023,45,11.620388,78.120714,Active
OA0009,Jeyam Enterprises,Multi-Yard,Madras,Senthil S,8464416115,2025-05-20,30,13.068817,80.262777,Active
OA0010,City Infotech,General Trade,Dindigul,Sathish Babu,7907094151,26/01/2023,,10.401456,77.984082,Active
OA0011,Universal Electronics,Mobile Specialist,VELLORE,Ravi Nathan,0,22-Jul-21,,12.876519,79.138094,Inactive
OA0012,Ram Enterprises,Mobile Specialist,Dindigul,Karthik Raj,6073507339,2020-02-28,30 days,10.368651,77.935239,
OA0013,Ganesh Digital,General Trade,TRICHY,Arun M,916495562933,14/09/2022,15,10.766224,78.707512,Dormant
OA0014,Ganesh Cellpoint,Multi-Yard,COIMBATORE,Bala M,9380009986,2020-02-23,15,11.005653,76.946729,
OA0015,Saravana Gadgets,General Trade,VELLORE,Naveen Nathan,6388100516,2020-03-11,30,12.903375,79.130052,Hold
OA0016,Universal Infotech,General Trade,Coimbatore,Suresh Babu,8640337631,01/01/2025,30 days,11.038879,76.973836,dormant
OA0017,Mobile World Infotech,General Trade,Cbe,Senthil Murugan,,2019-12-29,0,10.991151,76.947716,Dormant
